  3.223669 seconds (35 allocations: 1.865 GiB, 15.07% gc time)
  2.811080 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  2.936366 seconds (35 allocations: 1.865 GiB, 2.43% gc time)
  3.125719 seconds (35 allocations: 1.865 GiB, 0.04% gc time)
  3.221109 seconds (35 allocations: 1.865 GiB, 15.11% gc time)
  2.821679 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  2.939413 seconds (35 allocations: 1.865 GiB, 2.49% gc time)
  3.113196 seconds (35 allocations: 1.865 GiB, 0.12% gc time)
  3.391316 seconds (35 allocations: 1.865 GiB, 19.19% gc time)
  2.817365 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  2.909437 seconds (35 allocations: 1.865 GiB, 2.41% gc time)
  3.149945 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.185351 seconds (35 allocations: 1.865 GiB, 13.88% gc time)
  2.842162 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.163203 seconds (35 allocations: 1.865 GiB, 2.33% gc time)
  3.093675 seconds (35 allocations: 1.865 GiB, 0.04% gc time)
  3.234238 seconds (35 allocations: 1.865 GiB, 15.35% gc time)
  2.825813 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  2.945168 seconds (35 allocations: 1.865 GiB, 2.44% gc time)
  3.116830 seconds (35 allocations: 1.865 GiB, 0.09% gc time)
  3.277812 seconds (35 allocations: 1.865 GiB, 16.22% gc time)
  2.822696 seconds (35 allocations: 1.865 GiB, 0.14% gc time)
  2.943260 seconds (35 allocations: 1.865 GiB, 2.47% gc time)
  3.163826 seconds (35 allocations: 1.865 GiB, 0.04% gc time)
  3.340101 seconds (35 allocations: 1.865 GiB, 17.63% gc time)
  2.870062 seconds (35 allocations: 1.865 GiB, 0.06% gc time)
  2.941345 seconds (35 allocations: 1.865 GiB, 2.47% gc time)
  3.134353 seconds (35 allocations: 1.865 GiB, 0.04% gc time)
  3.487811 seconds (35 allocations: 1.865 GiB, 14.12% gc time)
  2.836474 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  2.988002 seconds (35 allocations: 1.865 GiB, 2.41% gc time)
  3.119318 seconds (35 allocations: 1.865 GiB, 0.04% gc time)
  3.252860 seconds (35 allocations: 1.865 GiB, 15.31% gc time)
  2.856967 seconds (35 allocations: 1.865 GiB, 0.06% gc time)
  3.069868 seconds (35 allocations: 1.865 GiB, 2.40% gc time)
  3.132276 seconds (35 allocations: 1.865 GiB, 0.04% gc time)
  3.237903 seconds (35 allocations: 1.865 GiB, 15.37% gc time)
  2.818764 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  2.947390 seconds (35 allocations: 1.865 GiB, 2.51% gc time)
  3.142198 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.384500 seconds (35 allocations: 1.865 GiB, 18.48% gc time)
  2.826763 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  2.939948 seconds (35 allocations: 1.865 GiB, 2.48% gc time)
  3.140025 seconds (35 allocations: 1.865 GiB, 0.04% gc time)
  3.271277 seconds (35 allocations: 1.865 GiB, 16.11% gc time)
  2.874581 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.194931 seconds (35 allocations: 1.865 GiB, 2.30% gc time)
  3.063421 seconds (35 allocations: 1.865 GiB, 0.04% gc time)
  3.240792 seconds (35 allocations: 1.865 GiB, 15.40% gc time)
  2.833157 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  2.979229 seconds (35 allocations: 1.865 GiB, 2.52% gc time)
  3.162577 seconds (35 allocations: 1.865 GiB, 0.04% gc time)
  3.248230 seconds (35 allocations: 1.865 GiB, 15.39% gc time)
  2.818097 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  2.951787 seconds (35 allocations: 1.865 GiB, 2.62% gc time)
  3.132074 seconds (35 allocations: 1.865 GiB, 0.04% gc time)
  3.410069 seconds (35 allocations: 1.865 GiB, 19.14% gc time)
  2.828438 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  2.938074 seconds (35 allocations: 1.865 GiB, 2.46% gc time)
  3.160955 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.242935 seconds (35 allocations: 1.865 GiB, 15.39% gc time)
  2.813520 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.186438 seconds (35 allocations: 1.865 GiB, 2.26% gc time)
  3.126235 seconds (35 allocations: 1.865 GiB, 0.04% gc time)
  3.218349 seconds (35 allocations: 1.865 GiB, 15.27% gc time)
  2.823689 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  2.935084 seconds (35 allocations: 1.865 GiB, 2.46% gc time)
  3.132888 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.254767 seconds (35 allocations: 1.865 GiB, 15.79% gc time)
  2.894034 seconds (35 allocations: 1.865 GiB, 0.06% gc time)
  2.938588 seconds (35 allocations: 1.865 GiB, 2.31% gc time)
  3.291684 seconds (35 allocations: 1.865 GiB, 0.04% gc time)
  3.397358 seconds (35 allocations: 1.865 GiB, 18.53% gc time)
  3.355939 seconds (35 allocations: 1.865 GiB, 14.11% gc time)
  2.953225 seconds (35 allocations: 1.865 GiB, 2.60% gc time)
  3.175163 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.319296 seconds (35 allocations: 1.865 GiB, 4.00% gc time)
  3.184956 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.396547 seconds (35 allocations: 1.865 GiB, 18.47% gc time)
  2.891749 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.012419 seconds (35 allocations: 1.865 GiB, 2.35% gc time)
  3.159252 seconds (35 allocations: 1.865 GiB, 0.04% gc time)
  3.313343 seconds (35 allocations: 1.865 GiB, 16.66% gc time)
  3.162193 seconds (35 allocations: 1.865 GiB, 0.04% gc time)
  3.317206 seconds (35 allocations: 1.865 GiB, 3.96% gc time)
  3.186837 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.409206 seconds (35 allocations: 1.865 GiB, 18.30% gc time)
  2.910193 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.006817 seconds (35 allocations: 1.865 GiB, 2.49% gc time)
  3.156415 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.314561 seconds (35 allocations: 1.865 GiB, 16.83% gc time)
  3.170810 seconds (35 allocations: 1.865 GiB, 0.04% gc time)
  3.304652 seconds (35 allocations: 1.865 GiB, 3.93% gc time)
  3.171367 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.258287 seconds (35 allocations: 1.865 GiB, 15.31% gc time)
  2.938691 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  2.972070 seconds (35 allocations: 1.865 GiB, 2.35% gc time)
  3.175563 seconds (35 allocations: 1.865 GiB, 0.06% gc time)
  3.319970 seconds (35 allocations: 1.865 GiB, 16.88% gc time)
  3.179787 seconds (35 allocations: 1.865 GiB, 0.04% gc time)
  3.311020 seconds (35 allocations: 1.865 GiB, 3.94% gc time)
  3.174812 seconds (35 allocations: 1.865 GiB, 0.08% gc time)
  3.533130 seconds (35 allocations: 1.865 GiB, 18.55% gc time)
  2.908609 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.035855 seconds (35 allocations: 1.865 GiB, 2.41% gc time)
  3.159644 seconds (35 allocations: 1.865 GiB, 0.04% gc time)
  3.320361 seconds (35 allocations: 1.865 GiB, 16.79% gc time)
  3.170290 seconds (35 allocations: 1.865 GiB, 0.04% gc time)
  3.299765 seconds (35 allocations: 1.865 GiB, 3.92% gc time)
  3.169557 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.261545 seconds (35 allocations: 1.865 GiB, 15.30% gc time)
  2.867339 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.014836 seconds (35 allocations: 1.865 GiB, 2.37% gc time)
  3.172142 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.367838 seconds (35 allocations: 1.865 GiB, 18.03% gc time)
  3.148830 seconds (35 allocations: 1.865 GiB, 0.04% gc time)
  3.312187 seconds (35 allocations: 1.865 GiB, 4.02% gc time)
  3.184451 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.463460 seconds (35 allocations: 1.865 GiB, 17.83% gc time)
  2.897284 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.015385 seconds (35 allocations: 1.865 GiB, 2.37% gc time)
  3.176918 seconds (35 allocations: 1.865 GiB, 0.04% gc time)
  3.354804 seconds (35 allocations: 1.865 GiB, 17.27% gc time)
  3.234402 seconds (35 allocations: 1.865 GiB, 0.04% gc time)
  3.309845 seconds (35 allocations: 1.865 GiB, 3.97% gc time)
  3.175559 seconds (35 allocations: 1.865 GiB, 0.06% gc time)
  3.256151 seconds (35 allocations: 1.865 GiB, 15.39% gc time)
  2.857778 seconds (35 allocations: 1.865 GiB, 0.04% gc time)
  3.006247 seconds (35 allocations: 1.865 GiB, 2.37% gc time)
  3.142865 seconds (35 allocations: 1.865 GiB, 0.04% gc time)
  3.320953 seconds (35 allocations: 1.865 GiB, 16.97% gc time)
  3.161544 seconds (35 allocations: 1.865 GiB, 0.04% gc time)
  3.324045 seconds (35 allocations: 1.865 GiB, 4.01% gc time)
  3.181743 seconds (35 allocations: 1.865 GiB, 0.11% gc time)
  3.444108 seconds (35 allocations: 1.865 GiB, 19.20% gc time)
  2.900456 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.022022 seconds (35 allocations: 1.865 GiB, 2.38% gc time)
  3.025796 seconds (35 allocations: 1.865 GiB, 0.04% gc time)
  4.409047 seconds (35 allocations: 1.865 GiB, 12.68% gc time)
  4.286766 seconds (35 allocations: 1.865 GiB, 0.04% gc time)
